date, pm25, pm10, o3, no2, so2, co
2023/9/1, 34, 15, 1, 19, , 
2023/9/2, 54, 12, 27, 8, , 
2023/9/3, 39, 9, 34, 4, , 
2023/9/4, 27, 11, 32, 8, , 
2023/9/5, 35, 15, 35, 11, , 
2023/9/6, 45, 18, 37, 10, , 
2023/9/7, 51, 21, 39, 15, , 
2023/9/8, 51, 24, 39, 16, , 
2023/9/9, 61, 25, 41, 15, , 
2023/9/10, 64, 30, 40, 18, , 
2023/9/11, 70, 28, 32, 17, , 
2023/9/12, 70, 23, 36, 12, , 
2023/9/13, 62, 18, 22, 13, , 
2023/9/14, 52, 14, 25, 14, , 
2023/9/15, 44, 17, 31, 11, , 
2023/9/16, 53, 15, 28, 12, , 
2023/9/17, 49, 19, 22, 11, , 
2023/9/18, 55, 12, 20, 13, , 
2023/9/19, 38, 13, 20, 12, , 
2023/9/20, 41, 12, 24, 10, , 
2023/9/21, 36, 20, 19, 13, , 
2023/9/22, 52, 8, 25, 4, , 
2023/9/23, 26, 3, 26, 3, , 
2023/9/24, 10, 8, 23, 7, , 
2023/9/25, 30, 19, 25, 14, , 
2023/9/26, 53, 26, 32, 13, , 
2023/9/27, 63, 27, 30, 16, , 
2023/9/28, 64, 28, 29, 20, , 
2023/9/29, 67, 29, 31, 15, , 
2023/9/30, 75, 25, 23, 11, , 
2023/4/1, 25, 10, 28, 9, , 
2023/4/2, 40, 7, 32, 4, , 
2023/4/3, 25, 10, 33, 5, , 
2023/4/4, 35, 13, 35, 7, , 
2023/4/5, 48, 19, 35, 14, , 
2023/4/6, 58, 32, 36, 16, , 
2023/4/7, 92, 28, 34, 9, , 
2023/4/8, 87, 14, 27, 4, , 
2023/4/9, 55, 18, 33, 11, , 
2023/4/10, 64, 36, 12, 18, , 
2023/4/11, 105, , , , , 
2023/4/16, 28, 11, , , , 
2023/4/17, 44, 12, , , , 
2023/4/18, 50, 17, 28, 9, , 
2023/4/19, 60, 19, 32, 10, , 
2023/4/20, 62, 26, 35, 15, , 
2023/4/21, 76, 22, 40, 12, , 
2023/4/22, 66, 22, 36, 10, , 
2023/4/23, 70, 12, 25, 15, , 
2023/4/24, 46, 6, 34, 7, , 
2023/4/25, 20, 11, 33, 8, , 
2023/4/26, 38, 14, 38, 10, , 
2023/4/27, 48, 17, 28, 15, , 
2023/4/28, 55, 12, 40, 9, , 
2023/4/29, 40, 11, 34, 7, , 
2023/4/30, 43, 14, 35, 8, , 
2023/5/1, 52, 17, 28, 9, , 
2023/5/2, 63, 10, 30, 5, , 
2023/5/3, 42, 15, 35, 9, , 
2023/5/4, 53, 20, 37, 14, , 
2023/5/5, 63, 23, 44, 13, , 
2023/5/6, 71, 16, 41, 7, , 
2023/5/7, 56, 19, 23, 8, , 
2023/5/8, 64, 16, 29, 8, , 
2023/5/9, 51, 19, 25, 10, , 
2023/5/10, 62, 18, 19, 7, , 
2023/5/11, 64, 7, 10, 10, , 
2023/5/12, 33, 14, 19, 6, , 
2023/5/13, 55, 13, 20, 4, , 
2023/5/14, 51, 8, 23, 7, , 
2023/5/15, 33, 5, 25, 8, , 
2023/5/16, 23, 4, 29, 5, , 
2023/5/17, 15, 13, 28, 6, , 
2023/5/18, 44, 17, 24, 6, , 
2023/5/19, 59, 19, 35, 8, , 
2023/5/20, 60, 20, 39, 6, , 
2023/5/21, 60, 21, 40, 11, , 
2023/5/22, 62, 21, 37, 12, , 
2023/5/23, 63, 14, 28, 9, , 
2023/5/24, 53, 14, 35, 8, , 
2023/5/25, 49, 18, 36, 9, , 
2023/5/26, 60, , , , , 
2023/5/28, 53, 17, 35, 12, , 
2023/5/29, 55, 14, 37, 8, , 
2023/5/30, 47, 18, 26, 12, , 
2023/5/31, 59, 20, 39, 10, , 
2023/6/1, 66, 20, 44, 11, , 
2023/6/2, 70, 13, 35, 6, , 
2023/6/3, 53, 13, 35, 7, , 
2023/6/4, 53, 15, 16, 9, , 
2023/6/5, 59, 12, 19, 11, , 
2023/6/6, 48, 11, 32, 11, , 
2023/6/7, 41, 10, 32, 9, , 
2023/6/8, 41, 10, 33, 10, , 
2023/6/9, 41, 12, 35, 10, , 
2023/6/10, 46, 11, 31, 4, , 
2023/6/11, 47, 9, 35, 5, , 
2023/6/12, 34, 12, 36, 9, , 
2023/6/13, 39, 12, 40, 8, , 
2023/6/14, 44, 13, 40, 8, , 
2023/6/15, 43, 13, 41, 11, , 
2023/6/16, 49, 13, 40, 11, , 
2023/6/17, 49, 15, 45, 11, , 
2023/6/18, 60, 18, 47, 13, , 
2023/6/19, 58, 19, 45, 12, , 
2023/6/20, 62, 22, 59, 12, , 
2023/6/21, 61, 19, 37, 8, , 
2023/6/22, 56, 26, 34, 8, , 
2023/6/23, 54, 8, 29, 4, , 
2023/6/24, 31, 10, 39, 7, , 
2023/6/25, 40, 14, 42, 13, , 
2023/6/26, 48, 16, 36, 8, , 
2023/6/27, 55, 9, 33, 10, , 
2023/6/28, 37, 9, 39, 12, , 
2023/6/29, 32, 10, 34, 11, , 
2023/6/30, 35, 10, 38, 8, , 
2023/1/2, 49, 20, 17, 13, , 
2023/1/3, 69, 27, 14, 15, , 
2023/1/4, 86, 22, 9, 12, , 
2023/1/5, 74, 32, 10, 14, , 
2023/1/6, 97, 32, 12, 12, , 
2023/1/7, 100, 16, 24, 9, , 
2023/1/8, 57, 14, 21, 12, , 
2023/1/9, 51, 6, 21, 10, , 
2023/1/10, 25, 24, 12, 21, , 
2023/1/11, 76, 43, 7, 21, , 
2023/1/12, 122, 60, 3, 18, , 
2023/1/13, 154, 50, 9, 16, , 
2023/1/14, 141, 34, 7, 13, , 
2023/1/15, 105, 20, 19, 12, , 
2023/1/16, 66, 18, 16, 13, , 
2023/1/17, 65, 23, 9, 19, , 
2023/1/18, 79, 21, 15, 13, , 
2023/1/19, 72, 34, 14, 16, , 
2023/1/20, 92, 33, 18, 7, , 
2023/1/21, 79, 13, 17, 4, , 
2023/1/22, 48, 13, 15, 7, , 
2023/1/23, 53, 23, 13, 12, , 
2023/1/24, 77, 25, 13, 8, , 
2023/1/25, 81, 24, 18, 7, , 
2023/1/26, 79, , , , , 
2023/2/1, 111, 32, 28, 14, , 
2023/2/2, 93, 21, 19, 17, , 
2023/2/3, 63, 16, 27, 8, , 
2023/2/4, 50, 7, 25, 4, , 
2023/2/5, 29, 22, 20, 10, , 
2023/2/6, 73, 45, 15, 21, , 
2023/2/7, 123, 47, 18, 16, , 
